SAUID	SAUlevel	SAU	ECID	EClevel	EcosystemComponent	EQR	prop	Status	Conf	ConfClass
13	2	SEA-012: Northern Baltic Proper	9	3	Surface-feeding birds	0.3	0.666666666666667	sub-GES	1	High
13	2	SEA-012: Northern Baltic Proper	10	3	Pelagic-feeding birds	0.8	0.875	GES	1	High
13	2	SEA-012: Northern Baltic Proper	11	3	Benthic-feeding birds	0.3	0.727272727272727	sub-GES	0.9091	High
14	2	SEA-013: Gulf of Finland	7	3	Grazing birds	0.8	1	GES	0.95	High
14	2	SEA-013: Gulf of Finland	8	3	Wading birds	0.3	0.75	sub-GES	1	High
14	2	SEA-013: Gulf of Finland	9	3	Surface-feeding birds	0.3	0.6	sub-GES	0.9625	High
14	2	SEA-013: Gulf of Finland	10	3	Pelagic-feeding birds	0.8	0.777777777777778	GES	0.9583	High
14	2	SEA-013: Gulf of Finland	11	3	Benthic-feeding birds	0.3	0.6	sub-GES	0.925	High
15	2	SEA-014: Åland Sea	7	3	Grazing birds	0.3	0.714285714285714	sub-GES	1	High
15	2	SEA-014: Åland Sea	8	3	Wading birds	0.3	0.75	sub-GES	1	High
15	2	SEA-014: Åland Sea	9	3	Surface-feeding birds	0.3	0.666666666666667	sub-GES	1	High
15	2	SEA-014: Åland Sea	10	3	Pelagic-feeding birds	0.8	0.875	GES	1	High
15	2	SEA-014: Åland Sea	11	3	Benthic-feeding birds	0.3	0.727272727272727	sub-GES	0.9091	High
16	2	SEA-015: Bothnian Sea	7	3	Grazing birds	0.8	1	GES	1	High
16	2	SEA-015: Bothnian Sea	8	3	Wading birds	0.3	0.666666666666667	sub-GES	1	High
16	2	SEA-015: Bothnian Sea	9	3	Surface-feeding birds	0.8	1	GES	1	High
16	2	SEA-015: Bothnian Sea	10	3	Pelagic-feeding birds	0.3	0.666666666666667	sub-GES	1	High
16	2	SEA-015: Bothnian Sea	11	3	Benthic-feeding birds	0.3	0.333333333333333	sub-GES	1	High
17	2	SEA-016: The Quark	7	3	Grazing birds	0.8	1	GES	1	High
17	2	SEA-016: The Quark	8	3	Wading birds	0.3	0.666666666666667	sub-GES	1	High
17	2	SEA-016: The Quark	9	3	Surface-feeding birds	0.8	1	GES	1	High
17	2	SEA-016: The Quark	10	3	Pelagic-feeding birds	0.3	0.666666666666667	sub-GES	1	High
17	2	SEA-016: The Quark	11	3	Benthic-feeding birds	0.3	0.333333333333333	sub-GES	1	High
18	2	SEA-017: Bothnian Bay	7	3	Grazing birds	0.8	1	GES	1	High
18	2	SEA-017: Bothnian Bay	8	3	Wading birds	0.3	0.666666666666667	sub-GES	1	High
18	2	SEA-017: Bothnian Bay	9	3	Surface-feeding birds	0.8	1	GES	1	High
18	2	SEA-017: Bothnian Bay	10	3	Pelagic-feeding birds	0.3	0.666666666666667	sub-GES	1	High
18	2	SEA-017: Bothnian Bay	11	3	Benthic-feeding birds	0.3	0.333333333333333	sub-GES	1	High
